word,count
체전,1
남북,1
단일,1
빙상,1
통일,1
트럼프,1
새해,1
트위터,1
파키스탄,1
날선,1
경고,1
블랙리스트,1
열람,1
대법원,1
고발,1
수사,1
착수,1
청소노동자,1
자리,1
알바,1
대체,1
연세,1
고려,1
홍익대,1
비용,1
절감,1
꼼수,1
광주,1
화재,1
남매,1
엄마,1
구속,1
최경환,1
이우현,1
의원,1
영장,1
심사,1
위기,1
혁신,1
기업,1
화두,1
창원,1
타운,1
조성,1
위법,1
투성이,1
시장,1
선거,1
오리,1
금융,1
디지털,1
글로벌,1
대구,1
통합,1
공항,1
전문가,1
위원,1
구성,1
그대,1
겨울,1
경북,1
청년,1
커플,1
창업,1
원제,1
실효,1
논란,1
이병철,1
부회장,1
증권,1
주주,1
성문,1
회장,1
무효,1
사유,1
주간,1
평일,1
드라마,1
편성,1
무술년,1
대주,1
이재성,1
각오,1
새해,1
소망,1
월드컵,1
출전,1
유럽,1
진출,1
성장,1
문명,1
부조리,1
너머,1
탄소,1
청정,1
제주,1
작곡가,1
진은숙,1
서울시,1
고시원,1
막노동,1
사람,1
위로,1
바이애슬론,1
인생,1
서울대,1
의대,1
윤영,1
교수,1
습관,1
건강,1
경추,1
질환,1
최고,1
계획,1
임신,1
통한,1
아기,1
출산,1
최소,1
개월,1
부부,1
노력,1
맞춤,1
협력,1
진료,1
흉터,1
발생,1
최소,1
견정혈,1
어깨,1
통증,1
완화,1
호흡기,1
질환,1
중풍,1
후유증,1
효과,1
자세,1
커피,1
진료,1
미납,1
접수,1
거부,1
응급환자,1
병원,1
직원,1
실형,1
문맹률,1
문해율,1
셀프,1
검증,1
까닭,1
도시재생,1
지방,1
하자,1
수사권,1
조정,1
탐정,1
제도,1
도입,1
필요성,1
현정은,1
현대,1
회장,1
남북,1
교류,1
준비,1
적폐,1
청산,1
의성,1
필요성,1
투쟁,1
교황,1
신년,1
연하,1
관광,1
수지,1
적자,1
대책,1
조속,1
수립,1
공감,1
정상,1
표지,1
화합,1
표징,1
문재인,1
케어,1
위원회,1
대법원,1
시민,1
눈높이,1
사법,1
개혁,1
새해,1
야당,1
정쟁,1
구태,1
부고,1
웹툰,1
기술,1
벌써,1
국가,1
평생교육,1
진흥,1
원장,1
여각,1
방송통신대,1
교수,1
인사,1
남북,1
고위,1
회담,1
성사,1
단절,1
시대,1
올해,1
기자,1
동아일보,1
정치,1
손효주,1
기자,1
구애,1
몽족,1
새해,1
풍경,1
문화,1
충격,1
대학,1
졸업,1
버락,1
오바마,1
대통령,1
취임,1
친구,1
엄마,1
취해,1
진술,1
황당,1
결혼,1
중개업,1
가짜,1
서류,1
탈북민,1
고용,1
원금,1
꿀꺽,1
입건,1
롯데,1
그룹,1
비상,1
열사,1
흡수,1
합병,1
지주회사,1
출범,1
순환,1
출자,1
해소,1
롯데,1
그룹,1
비상,1
열사,1
흡수,1
합병,1
지주회사,1
출범,1
순환,1
출자,1
해소,1
대구,1
범안로,1
운영,1
업체,1
대표,1
횡령,1
혐의,1
구속,1
개헌,1
정개특위,1
한국,1
사개특위,1
민주당,1
위원장,1
정민,1
신임,1
원자력안전위,1
원장,1
한수원,1
대변인,1
비난,1
포스코,1
주년,1
올해,1
성장,1
사업,1
강화,1
상무,1
대신,1
가상,1
화폐,1
거래소,1
수수료,1
수익,1
구두,1
발주,1
반품,1
대형,1
유통업체,1
동남아,1
현지,1
주요,1
은행,1
해외,1
이익,1
최대,1
급증,1
신병,1
태운,1
군용,1
버스,1
추락,1
중경상,1
쿵쉬,1
안유,1
중국,1
회담,1
대표,1
차관,1
승진,1
멸종위기,1
카카오,1
구해,1
기후변화,1
대응,1
나선,1
기업,1
코스닥,1
지수,1
종가,1
돌파,1
이후,1
대한민국,1
계약,1
미투,1
이후,1
준비,1
할리우드,1
여성,1
성폭력,1
대응,1
단체,1
타임스,1
결성,1
겨울스포츠,1
스키,1
부상,1
예방,1
계명,1
병원,1
환자,1
안전,1
의료,1
향상,1
위해,1
올해,1
경주,1
공단,1
일산,1
병원,1
올해,1
국민,1
건강,1
지킴,1
에너지,1
경제,1
연구원,1
전기차,1
미세먼지,1
배출,1
휘발유,1
엇비슷,1
기간,1
근로자,1
여명,1
정규직,1
전환,1
강사,1
바지,1
총장,1
세운,1
억원,1
가로,1
전직,1
총장,1
적발,1
비행기,1
하청,1
하청,1
구조,1
파업,1
체인,1
투입,1
고발,1
대한항공,1
청소노동자,1
거꾸로,1
자동차,1
업계,1
르노,1
삼성,1
전진,1
부산,1
기장,1
삼각산,1
산불,1
소실,1
부산,1
역대,1
규모,1
대통령,1
정부,1
국민,1
우산,1
대한민국,1
강조,1
순직,1
아들,1
기리,1
은퇴,1
아버지,1
소방관,1
기부,1
간호사,1
환자,1
모습,1
인터넷,1
중계,1
왕훙,1
열풍,1
밴스,1
노래,1
미국,1
백인,1
빈곤층,1
정서,1
경찰,1
제천,1
화재,1
참사,1
건물,1
검찰,1
송치,1
생존,1
몸부림,1
재계,1
워드,1
미래,1
포스,1
편의점,1
판매,1
반대,1
나선,1
약사,1
전직,1
인턴,1
일반,1
시민,1
인터뷰,1
논란,1
진상,1
조사,1
사과,1
한국,1
방송,1
장악,1
실토,1
여당,1
시절,1
두뇌,1
지배,1
독일,1
대사,1
정범구,1
의원,1
관장,1
인사,1
한국,1
방송,1
장악,1
실토,1
여당,1
시절,1
두뇌,1
지배,1
바이브,1
공연,1
여성,1
관객,1
조롱,1
논란,1
사과,1
변명,1
여지,1
잘못,1
작곡가,1
진은숙,1
서울시,1
안성,1
이투스,1
기숙,1
학원,1
분석,1
학년,1
수능,1
표준점수,1
도수,1
자유,1
한국,1
적폐,1
청산,1
인민,1
위원회,1
매일,1
색깔론,1
서울,1
중심,1
정주,1
여건,1
홍제역,1
효성,1
해링턴,1
레이스,1
분양,1
예정,1
김소연,1
대전,1
변호사,1
사기,1
고소,1
민사소송,1
해결,1
적극,1
활약,1
일본,1
예측,1
불안,1
개인,1
회생,1
파산,1
신청,1
전문가,1
조언,1
통해,1
진행,1
부가가치세,1
신고,1
하자,1
경찰,1
강서구,1
크레인,1
사고,1
철거,1
업체,1
압수수색,1
청와대,1
신년인사,1
신년사,1
문재인,1
대통령,1
신년인사,1
참석자,1
기념,1
촬영,1
문재인,1
대통령,1
부부,1
수달,1
가족,1
전주천,1
꽁꽁,1
새해,1
북미,1
역대,1
한파,1
공로,1
연수,1
거부,1
고착,1
인사,1
척결,1
위해,1
조명,1
통일부,1
장관,1
남북,1
고위,1
회담,1
열자,1
부산시,1
장애인,1
정책,1
개년,1
기본,1
계획,1
마련,1
부산시,1
기간,1
근로자,1
정규직,1
전환,1
이상은,1
고용보,1
상균,1
평일,1
드라마,1
결방,1
수원,1
지역,1
시민사회단체,1
지방,1
분권,1
개헌,1
수원,1
회의,1
결성,1
작업장,1
보되,1
개월,1
사망,1
쌍용차,1
노동자,1
법원,1
업무,1
재해,1
정봉주,1
의원,1
노원,1
출마,1
서울시장,1
출마,1
고려,1
정부,1
판문점,1
고위,1
남북,1
당국,1
회담,1
열자,1
조명,1
통일,1
장관,1
회견,1
